"Limit","Gender","Education","MarriageStatus","Age","Status1","Status2","Status3","Status4","Status5","Status6","Bill1","Bill2","Bill3","Bill4","Bill5","Bill6","Payment1","Payment2","Payment3","Payment4","Payment5","Payment6","IndLevel","Default"
1e+05,"F","Other","Single",27,0,0,0,0,0,0,152330,66107,60734,48816,28679,30231,3000,2231,1617,1000,2000,590,1.6,"N"
180000,"M","GradS","Married",48,0,0,0,0,0,0,167140,160707,162477,166861,171083,169365,8000,6000,7000,7000,7000,7000,2.7,"N"
150000,"F","GradS","Single",29,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,4.7,"N"
480000,"M","GradS","Married",41,0,0,0,-1,-1,-1,76750,103618,127402,7302,5155,10492,30000,30000,9398,5155,4101,14254,0,"N"
60000,"F","Univ","Single",25,0,0,0,0,0,0,36081,37194,38116,39902,58737,56902,2500,2000,3000,20000,3000,2000,1.7,"N"
180000,"F","GradS","Married",39,-1,-1,-1,0,-1,0,547,547,759,1042,796,547,547,759,1000,796,0,249,3.2,"N"
170000,"F","Univ","Single",47,0,0,0,0,0,0,34804,35525,36948,38031,38698,39524,1600,2000,2000,1600,1600,1700,3.1,"N"
350000,"M","GradS","Married",39,-1,-1,2,0,-1,0,325,2770,2247,1930,80392,78638,2770,0,8,80408,3142,2720,3.5,"N"
310000,"M","GradS","Single",33,0,0,2,0,0,0,47224,51442,51531,51375,29069,29895,4900,1500,1000,1200,1200,1200,2,"N"
30000,"M","GradS","Single",29,1,-2,-1,0,0,2,0,0,22015,22649,24583,25227,0,22015,1000,2300,1200,0,0.6,"N"
80000,"M","Other","Married",29,0,0,0,0,0,0,80534,78179,79348,81099,80540,67069,3006,2641,2827,2671,2611,2417,2.6,"N"
310000,"F","HS","Single",30,1,-1,0,0,0,0,5931,118109,131107,97009,51757,50009,120000,18008,20000,12000,5000,3000,1.4,"N"
420000,"F","Univ","Single",28,0,0,0,0,0,0,89829,82251,78830,76521,78049,79792,5126,3019,2777,2800,3000,3000,1.8,"N"
5e+05,"M","GradS","Married",58,1,2,0,0,-1,-1,65005,63099,64610,64133,264,264,0,2787,1312,264,264,4709,3,"N"
160000,"M","GradS","Single",25,-1,0,0,-1,-1,-1,898,2686,170,1363,10484,12455,2000,0,1363,11422,12455,24262,3,"N"
150000,"F","Univ","Single",27,0,0,0,0,0,0,58751,60163,62142,57777,51110,52284,3000,3000,2010,2000,2000,2000,0.8,"N"
50000,"M","Univ","Single",25,2,2,3,3,3,3,1050,1050,1050,1050,1050,1050,0,0,0,0,0,0,1.5,"Y"
260000,"F","Univ","Married",39,-2,-2,-2,-1,-1,-1,0,2399,1647,502,597,4222,2399,1647,502,597,4222,2117,2.3,"N"
260000,"F","HS","Married",31,0,0,-2,-2,-2,-2,20000,0,0,0,0,0,0,0,0,0,0,7287,2,"N"
2e+05,"F","GradS","Married",31,-1,-1,-2,-2,-1,-1,1203,0,0,0,5032,0,0,0,0,5032,0,0,2.3,"N"
50000,"F","Univ","Married",48,-1,-1,2,-1,-1,-1,1079,7179,6478,7527,3060,1490,7651,0,7535,3060,1490,1095,4.1,"N"
410000,"F","GradS","Single",25,-1,-1,-1,-1,-1,-1,4151,4357,10513,9137,7781,28870,4357,10513,9137,7781,28870,15000,5.9,"N"
2e+05,"F","GradS","Single",31,1,-1,-1,-2,-2,-2,0,896,0,0,0,0,896,0,0,0,0,0,4.6,"N"
130000,"F","Other","Single",27,0,0,0,0,0,0,106852,107599,109902,112635,114472,117556,4000,4030,4600,4200,5000,5000,0.2,"N"
10000,"M","Univ","Single",24,3,2,2,3,3,3,1050,1050,1050,1050,1050,1050,0,0,0,0,0,0,0.9,"Y"
2e+05,"F","GradS","Married",37,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1.8,"Y"
250000,"F","Other","Married",43,-2,-2,-2,-2,-2,-2,-6,1298,826,2044,-16,-16,1304,830,2054,0,0,0,4.5,"N"
150000,"F","HS","Married",46,2,2,2,2,2,0,11164,11713,11759,12453,12147,12254,1000,500,850,0,400,400,3.7,"Y"
220000,"F","GradS","Married",36,0,0,0,2,0,0,184765,190691,206000,194930,130938,134664,9000,20000,0,5000,6000,8000,4.9,"N"
140000,"M","Univ","Single",33,0,0,0,0,0,0,279184,259478,25020,21629,18367,15161,7000,2000,2000,2000,2000,2000,4.7,"N"
80000,"M","GradS","Single",29,0,0,0,-2,-2,-2,58246,61650,0,0,0,0,5000,0,0,0,0,0,2.4,"N"
420000,"F","GradS","Single",29,-2,-2,-2,-2,-2,-2,4406,4595,-13,2666,1614,6066,4205,5000,2679,1622,6080,3594,1.1,"N"
410000,"F","GradS","Single",31,0,0,0,0,0,0,309531,313646,270317,209076,191671,192848,11270,15325,9099,7016,7703,1e+05,2.2,"N"
230000,"F","GradS","Single",25,0,0,0,0,0,0,35101,35695,11657,13258,12459,6886,5000,5000,3000,669,5000,19000,2.5,"N"
350000,"F","GradS","Married",30,0,0,0,0,0,0,43548,39873,52449,53581,45320,43421,15000,15000,6000,1013,1445,5000,5.6,"N"
90000,"F","Univ","Other",36,0,0,0,0,0,0,91552,88751,54704,37660,32074,18372,55000,5023,5030,11000,9765,10000,2.7,"N"
2e+05,"F","Univ","Married",35,0,0,0,0,-1,-1,27561,17365,9889,0,9002,728,5000,1015,0,9002,728,10000,2.8,"N"
20000,"M","HS","Married",38,0,0,0,0,0,0,17224,16533,17557,18666,19037,19434,1267,1291,1400,681,703,600,3.7,"N"
50000,"M","Univ","Married",42,-2,-2,-2,-2,-1,0,1464,1469,2185,0,19777,19910,1469,2185,0,19777,629,296,1.7,"N"
5e+05,"M","GradS","Single",34,0,0,0,0,0,0,8007,10556,14332,20393,22633,24318,3000,4000,6500,5000,2000,4000,1.5,"N"
20000,"M","Univ","Single",22,0,0,0,0,0,0,19844,19929,18775,13854,10718,0,1369,1162,524,606,0,0,4.1,"N"
120000,"F","GradS","Single",29,0,0,0,0,-2,-1,50150,44742,33231,-1320,-660,956,5069,2805,0,0,1616,0,0,"N"
1e+05,"F","Univ","Married",23,0,0,0,0,0,0,6584,7560,4470,1490,542,679,2500,1193,1000,0,400,842,1.5,"N"
260000,"F","Univ","Single",33,-2,-1,0,0,0,0,4141,131000,129698,120375,118847,120361,133280,4813,4039,4095,4271,3701,4.3,"N"
20000,"F","Univ","Single",24,0,0,0,0,0,0,13542,14852,15571,16584,17067,34262,1543,1262,1275,758,638,1340,2.7,"N"
230000,"M","Univ","Married",39,1,-1,2,0,0,-1,-430,16659,1982,1982,991,5400,18675,0,991,0,5400,0,0.6,"N"
50000,"F","Univ","Single",22,0,0,0,0,0,0,50635,49488,48099,50021,50352,50740,1760,1888,3464,1717,1766,2500,0.4,"Y"
350000,"M","GradS","Married",62,-1,-1,-1,-1,-1,-1,83393,10237,14580,61024,86809,177816,10237,14580,61024,86809,177816,82610,2.1,"N"
50000,"F","Univ","Single",24,0,0,0,0,2,0,8587,9941,10950,11519,11191,11903,1500,1481,1050,0,903,333,4.9,"N"
490000,"M","GradS","Single",35,0,0,0,0,0,0,156021,155635,156094,159376,158235,163963,8030,9071,18944,10000,8030,6059,1.6,"N"
150000,"M","GradS","Single",30,-1,-1,-1,-1,-1,-1,6708,1098,1908,1589,9918,-16586,1098,2000,1589,9918,1157,0,11.3,"N"
160000,"F","Univ","Single",37,-1,-1,-1,0,0,0,12037,5123,2460,6460,5360,0,5123,2460,4000,107,0,3960,2.8,"N"
230000,"F","Univ","Single",28,0,0,0,0,0,0,33057,33698,36652,38421,37459,54778,1500,4767,3000,3092,17411,5000,2.2,"N"
270000,"F","Univ","Married",38,0,0,0,0,0,0,62263,60654,59464,54715,51796,53256,3000,3000,3019,5000,5000,10000,2.4,"N"
330000,"M","Univ","Married",38,0,0,0,0,0,0,179935,177959,175259,153562,157072,158516,8000,6000,5600,6000,6000,6000,0.1,"Y"
140000,"F","Univ","Single",27,-1,-1,-1,-1,-1,-1,1186,3713,390,390,6580,0,4000,390,390,6580,0,780,0,"N"
240000,"M","Univ","Married",33,-2,-1,0,0,0,0,15220,7549,127494,102825,99867,99410,7575,125335,3358,2784,2833,2806,2.3,"N"
3e+05,"F","GradS","Married",59,-1,-1,-1,-1,-1,-1,12982,10114,10195,34010,20854,64741,11138,10217,34039,20854,64741,39441,3.5,"N"
710000,"F","GradS","Single",32,0,0,0,0,0,0,28585,31719,34854,35774,35524,35047,3561,3696,1616,3024,5011,2011,1.7,"N"
390000,"F","Univ","Married",39,0,0,0,0,0,0,359641,283210,240876,190709,191162,195336,11100,13163,8349,6840,7252,7800,5,"N"
1e+05,"F","Univ","Married",38,0,0,0,0,0,2,84883,86616,88207,89428,95895,93092,4000,4500,3500,8000,4000,0,5.6,"N"
150000,"F","Univ","Married",37,-2,-1,-1,-2,-2,-1,0,1771,0,730,626,2718,1771,0,730,626,2718,0,2.1,"N"
220000,"F","Univ","Married",35,0,0,0,0,0,-1,228754,227903,93311,67900,64150,6000,10626,3600,3100,4000,6000,0,2.9,"N"
360000,"F","Univ","Single",30,0,0,-2,-1,0,0,23900,0,0,150,205150,0,0,0,150,205000,0,0,1.8,"N"
90000,"F","Univ","Single",32,1,-2,-2,-2,-2,-1,-295,-295,-295,-295,-295,9727,0,0,0,1,10022,0,2,"N"
50000,"M","HS","Single",26,2,0,0,0,0,0,31708,32439,28302,13881,14376,15261,1700,2000,1500,1100,1500,2000,4.2,"N"
310000,"F","GradS","Single",32,-2,-2,-2,-2,-2,-2,90654,20784,5649,9141,5122,380,27778,5649,9141,5122,380,2475,3.1,"N"
3e+05,"M","GradS","Single",34,1,-2,-1,0,-1,-1,0,0,13001,12601,19595,203,0,13001,0,19595,203,0,2.6,"Y"
40000,"M","Univ","Single",36,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,10000,0,0,4.2,"N"
360000,"F","Univ","Married",35,0,0,0,0,0,-2,127548,61629,59194,59444,-2206,-2206,2145,3721,2839,1303,0,0,0.2,"N"
130000,"M","Univ","Married",35,0,0,0,0,-2,-2,8010,5932,4950,-2490,-37594,-21295,1500,1012,0,0,0,80000,1,"N"
80000,"F","HS","Married",29,-2,-2,-2,-2,-2,-2,456,3351,9452,1584,2200,7042,3366,9481,1588,2206,7073,4186,0.6,"N"
220000,"F","Univ","Married",41,2,0,0,2,0,0,27094,27819,30363,29579,48933,97187,1465,3009,0,20000,50000,1240,3.8,"N"
10000,"M","Univ","Single",47,2,0,0,0,0,0,8640,9043,9489,9237,9422,9619,1145,1136,1144,329,340,418,0.8,"Y"
250000,"F","Univ","Married",35,1,2,2,2,2,2,196192,191745,205681,200988,217830,223254,0,17000,0,20000,9078,8500,4.4,"N"
50000,"F","GradS","Married",45,1,2,-1,0,0,0,6805,532,17453,18444,18855,18886,0,17453,1290,701,901,1000,0,"N"
320000,"M","GradS","Married",60,-1,-1,-1,-1,0,-1,9955,3465,84421,886,11741,4317,3465,84440,886,11533,4317,52466,3.5,"Y"
2e+05,"F","Other","Married",36,-1,-1,-1,-1,-1,-1,2353,2957,738,4152,2866,1414,3011,747,4164,2874,1418,2148,2.1,"N"
50000,"M","Univ","Single",25,2,2,0,0,0,2,7180,6922,7849,8018,8884,8593,0,1200,300,1000,0,1000,0.8,"Y"
90000,"M","Univ","Single",34,1,2,0,-1,-1,0,50281,14033,12628,20172,73512,72588,0,2000,20172,73512,3000,4000,3,"N"
5e+05,"M","GradS","Single",32,-2,-1,0,0,0,0,11086,22919,35937,31227,21135,2632,23008,20046,5075,5103,2646,20642,0.7,"N"
80000,"M","GradS","Single",34,2,2,2,2,2,2,61231,62423,63827,64682,65614,67007,2800,3000,2500,2600,2600,2600,5.4,"Y"
30000,"F","Univ","Married",27,2,2,2,2,0,0,19193,20084,20460,19836,20266,21568,1500,1000,0,900,1800,900,5.8,"Y"
460000,"F","GradS","Single",34,-1,-1,-1,-1,-1,-1,14460,8869,21494,12657,5739,10184,8869,23664,12659,5752,10192,7419,1.6,"N"
80000,"F","GradS","Single",22,1,2,2,-1,-1,-1,6261,6170,4258,7032,6348,1606,1000,0,7032,6348,1606,0,3,"N"
5e+05,"F","HS","Single",29,-2,-2,-2,-2,-2,-2,5024,798,5921,2381,823,801,802,5950,2392,827,805,30435,0.1,"Y"
170000,"F","Univ","Single",53,-2,-2,-2,-2,-2,-2,784,605,826,500,0,487,605,826,550,0,487,0,1.3,"N"
30000,"F","Univ","Single",24,2,2,3,3,3,3,1050,1050,1050,1050,1050,1050,0,0,0,0,0,0,2,"Y"
230000,"F","GradS","Single",41,-1,-1,-1,-1,-1,0,177,0,376,47992,3099,2389,0,376,48042,3099,0,0,0.7,"N"
2e+05,"M","HS","Married",69,0,0,0,0,0,0,83858,66979,65728,64490,53186,52136,3207,3042,2100,2008,2508,2000,2.6,"N"
410000,"F","GradS","Married",34,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,3996,2.6,"N"
70000,"F","Univ","Married",31,0,0,0,0,0,0,71065,69311,70882,68678,69030,66791,2566,2775,2381,3000,2452,2608,1.2,"N"
130000,"F","Univ","Single",24,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,3.7,"N"
60000,"F","GradS","Single",27,-1,-1,-1,-1,-1,2,3136,1286,1047,-239,1475,1289,1286,1047,0,3000,0,0,4.4,"N"
290000,"F","GradS","Married",39,-1,-1,-1,-1,-1,-1,264,264,264,264,264,264,264,264,264,264,264,264,1.4,"N"
450000,"M","GradS","Single",29,1,-2,-2,-2,-2,-2,1261,1261,1261,1261,1261,1261,1261,1261,1261,1261,1261,1261,0.2,"N"
260000,"M","GradS","Married",45,0,0,0,0,0,0,21480,25791,31654,35784,40726,45923,5000,6781,5000,6452,6696,6892,2.5,"N"
120000,"F","Univ","Married",34,-1,-1,-1,-1,0,0,326,499,1870,652,326,0,499,1870,652,0,0,1705,0.2,"N"
290000,"M","Univ","Married",50,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,4.2,"N"
90000,"M","GradS","Single",26,-1,-1,-1,-1,-1,0,10750,100,200,100,9894,20699,100,200,0,9894,20000,4100,4.8,"N"
420000,"F","Univ","Married",36,0,0,0,0,0,0,185882,172613,134188,121983,111256,103481,10000,10000,10000,11256,13841,15059,0.2,"N"
50000,"M","GradS","Single",32,-1,0,0,0,0,-2,23974,24131,25326,25775,0,0,1800,1900,1300,0,0,0,1.1,"N"
50000,"F","HS","Married",47,1,2,0,0,0,0,50574,48968,50151,50496,2759,-442,0,2463,2300,55,0,37459,3.8,"Y"
260000,"F","GradS","Single",33,-2,-1,-1,-1,0,0,0,204,-810,2190,810,0,204,0,3000,0,0,0,1.3,"N"
30000,"M","GradS","Single",31,0,0,0,0,0,0,28398,18550,13198,13222,14620,17376,2081,1196,1000,2000,3000,5000,3.3,"N"
250000,"F","GradS","Married",39,-1,-1,2,-1,-1,-1,1000,4070,3629,1570,248,1247,3629,3,1575,248,1247,621,1.4,"N"
190000,"M","GradS","Married",45,0,0,0,0,0,0,181814,172493,166982,155621,142439,133742,7035,6000,6000,10000,5000,5000,3.3,"N"
260000,"M","HS","Single",27,0,0,0,0,0,0,132755,137049,137558,140455,144032,146615,6417,5000,5184,6000,5026,4005,2.4,"N"
20000,"M","HS","Married",46,1,2,0,0,0,0,19450,18844,19853,19894,19993,20030,0,1626,1615,710,720,1587,3.6,"N"
2e+05,"F","Univ","Single",29,-1,-1,-1,-1,-1,-1,779,860,496,2755,2048,2318,860,496,2763,2048,2318,3311,0.3,"N"
50000,"F","GradS","Married",36,2,0,0,2,2,2,37397,40292,43073,44067,44955,44081,3500,3452,2000,1738,0,4000,0.8,"Y"
2e+05,"M","Univ","Single",44,-1,-1,-1,-1,-1,-1,310,2226,1230,3393,1340,3416,2306,1234,3510,1344,3426,6324,5.2,"N"
30000,"F","HS","Married",50,2,2,2,2,-1,0,29468,29688,28919,28000,13393,10539,1000,159,28426,24682,12,0,3.6,"Y"
260000,"F","Univ","Single",35,-2,-2,-2,-2,-2,-2,-7,-7,2493,2290,432,0,0,2507,2297,432,0,649,2.6,"N"
110000,"M","HS","Married",38,0,0,0,0,0,0,14084,11129,9316,7681,8897,11729,2500,2500,1000,1500,3000,500,0.3,"N"
50000,"M","GradS","Single",25,0,0,0,0,0,-1,15639,10504,11824,13018,12303,18584,1200,1500,1500,281,18584,1000,0.2,"N"
360000,"F","Univ","Single",34,1,-2,-2,-1,-1,-2,0,0,0,700,0,0,0,0,700,0,0,0,4.1,"Y"
360000,"F","GradS","Single",28,0,0,0,0,0,0,79161,81260,83055,85662,87458,86393,4000,4000,4000,4000,3300,5199,1.5,"N"
50000,"M","GradS","Single",35,3,2,0,0,0,0,39437,38525,40809,33021,35479,36238,0,3000,2000,3000,1500,2000,1.2,"N"
50000,"M","GradS","Single",23,1,-2,-2,-2,-2,-1,0,0,0,0,0,19553,0,0,0,0,19553,389,1.4,"N"
340000,"M","HS","Married",36,0,0,0,0,0,0,362178,303611,92112,75710,63870,52671,10116,3300,5000,10000,10000,30000,4.5,"Y"
290000,"F","HS","Single",29,0,0,0,0,0,0,279804,279377,283202,283401,285291,287510,10000,11000,10000,10000,11000,11000,5.4,"N"
2e+05,"F","GradS","Married",34,-1,2,-1,0,0,0,860,430,3130,7585,11056,97451,0,3130,5000,4000,90000,15000,4.3,"N"
450000,"M","GradS","Single",31,-1,-1,-1,2,-1,0,757,1422,2469,1562,20030,9248,1422,2000,0,20030,1000,1000,3.9,"N"
50000,"F","Univ","Married",42,3,3,2,2,0,0,24225,24046,24574,24348,16130,16467,500,1200,516,566,585,608,1.6,"Y"
50000,"M","Univ","Single",49,0,0,0,2,2,2,7282,8307,9709,9404,10254,9940,1300,1700,0,1000,0,200,1.6,"N"
10000,"F","Univ","Married",22,0,0,0,0,0,0,8730,8523,9527,9713,9762,10312,1303,1307,493,354,712,0,3.7,"N"
150000,"F","GradS","Single",31,-2,-1,-1,-1,-2,-2,2005,2869,16719,8568,797,1158,2876,16732,8593,799,1161,41380,2.7,"N"
170000,"F","GradS","Married",37,-1,0,-1,-1,-1,0,397,396,396,596,25081,25189,395,396,596,25081,504,396,1,"N"
180000,"F","GradS","Single",32,-1,-1,-1,-1,0,-1,1160,2884,1165,4685,1165,3472,2889,1165,4685,0,3472,799,2.4,"N"
340000,"F","GradS","Single",40,0,-1,0,-1,-1,2,68616,6691,10961,8722,4776,2812,7355,10012,8740,4776,0,6000,2,"N"
160000,"M","Univ","Married",46,0,0,0,0,0,0,116988,114956,114531,106467,106967,109245,4200,5555,4000,4000,4000,4200,3.5,"N"
60000,"M","Univ","Single",29,0,0,0,0,0,0,34081,23215,30340,28368,28962,26589,2000,8565,969,1004,1000,900,1.6,"N"
30000,"M","Univ","Single",26,0,0,0,0,0,0,26301,27376,28359,24844,25364,25935,1500,1450,889,920,992,1000,3.3,"N"
80000,"F","GradS","Single",26,0,0,0,0,0,0,66982,66130,67489,68535,66835,64962,2986,3056,2787,2745,2564,2926,1.2,"N"
170000,"F","Univ","Single",29,-1,-1,-1,-1,-1,-1,1333,1359,886,1042,1577,1574,1359,886,1051,1577,1574,287,5,"N"
420000,"F","GradS","Single",29,-2,-2,-1,0,0,0,392,396,47581,48070,47523,45834,400,47581,1715,1700,1850,2000,2.9,"N"
20000,"M","Univ","Single",24,0,0,0,0,0,0,15221,17847,18483,19079,19060,19061,3287,1313,1299,670,686,694,3.3,"N"
30000,"F","HS","Married",36,0,0,0,0,0,0,7963,9152,10282,10180,10394,9614,1321,1451,349,362,343,356,0.8,"Y"
80000,"M","HS","Married",53,1,2,0,0,0,0,9637,7251,8026,3878,3618,0,0,1088,1000,1000,958,1210,1.7,"N"
50000,"F","Univ","Married",23,0,0,0,0,0,0,40544,41098,28383,28937,29119,29334,2000,1500,1432,1004,1035,1178,0.1,"N"
340000,"F","GradS","Other",42,-1,-1,-1,-1,-1,0,139808,176743,34402,205931,265431,270237,873552,1215471,889043,621000,20000,145000,2.3,"N"
220000,"F","Univ","Married",32,0,0,0,0,0,0,194961,197536,203251,208355,213015,217475,7200,9000,10000,8000,8010,8500,1.7,"N"
1e+05,"F","Univ","Single",34,-1,-1,-1,-1,-1,-2,1919,1831,163,1028,0,0,1831,163,1028,0,0,0,0.4,"N"
30000,"F","Univ","Married",42,0,0,0,0,0,0,9801,10535,11552,11933,12092,17884,1200,1200,573,500,6000,1200,1.9,"Y"
1e+05,"F","GradS","Single",30,0,0,0,0,2,0,28383,32903,42283,51539,50583,52588,5000,10000,10000,0,2846,1936,3.2,"Y"
130000,"M","Univ","Single",27,0,0,0,0,0,0,29078,30110,31119,31891,32429,33035,1506,1515,1287,1200,1341,1663,4.1,"N"
5e+05,"M","GradS","Single",28,0,0,0,0,0,0,59646,49412,48060,51132,49348,40652,43018,3030,10022,3064,3022,2018,0.8,"N"
240000,"F","GradS","Married",33,0,0,0,0,0,0,214361,218626,223329,227820,227154,231935,7830,8231,8332,8187,8500,8029,2.3,"N"
140000,"M","GradS","Single",29,0,0,0,0,0,0,34052,34677,35065,35668,36143,37064,1553,1601,1564,1399,2000,2000,2.2,"N"
2e+05,"M","Univ","Single",35,0,0,0,0,0,0,27784,33877,35420,26609,25392,23367,10000,10000,2000,5000,5000,1000,1.1,"N"
80000,"F","HS","Other",52,0,0,0,0,0,0,77086,77411,78686,66217,56167,53190,3000,5086,1750,2012,1630,2165,1.7,"N"
250000,"M","Univ","Single",31,0,0,0,0,0,0,206199,206822,194318,181608,172922,175302,8006,7606,7200,6000,6303,7013,2.5,"N"
140000,"M","Univ","Married",29,0,0,0,0,0,0,130767,134946,130470,132038,131961,124256,6696,5000,4866,5300,5055,5000,1.4,"N"
310000,"F","Univ","Single",32,0,0,0,0,0,0,325056,327591,322273,272890,208257,206609,13294,12131,8543,10185,8290,7500,2.7,"N"
320000,"F","GradS","Married",34,-2,-1,0,-1,-1,-1,65083,23750,22381,14685,7511,6722,23750,10162,14702,7511,6722,10000,1.4,"N"
50000,"F","GradS","Single",33,-1,2,-1,-1,-1,-2,7363,5180,31902,11044,0,0,39,32013,11079,0,0,0,0.2,"N"
1e+05,"F","GradS","Single",30,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,7.5,"N"
5e+05,"M","GradS","Single",37,-1,-1,-1,-1,-1,-1,3214,0,3030,1167,2255,0,0,3030,1167,2255,0,0,1.2,"N"
